"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Magdalena River Turtle","animalia","reptilia","chordata","Podocnemis lewyana","podocnemididae","lewyana","testudines","podocnemis",2016,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 July 2015",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications","Forest;Wetlands (inland)"
"Riverine Rabbit","animalia","mammalia","chordata","Bunolagus monticularis","leporidae","monticularis","lagomorpha","bunolagus",2013,"Decreasing","Afrotropical","Terrestrial","Global","02 July 2008",NA,"Agriculture & aquaculture;Biological resource use","Shrubland;Desert"
"Red-belly toad","animalia","amphibia","chordata","Melanophryniscus admirabilis","bufonidae","admirabilis","anura","melanophryniscus",2013,"Decreasing","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","16 May 2013",NA,"Biological resource use;Natural system modifications;Pollution","Forest;Wetlands (inland)"
"Sunda Pangolin","animalia","mammalia","chordata","Manis javanica","manidae","javanica","pholidota","manis",2014,"Decreasing","Indomalayan","Terrestrial","Global","26 June 2013",NA,"Transportation & service corridors;Biological resource use;Natural system modifications","Forest;Shrubland;Artificial/Terrestrial"
"Chinese Pangolin","animalia","mammalia","chordata","Manis pentadactyla","manidae","pentadactyla","pholidota","manis",2014,"Decreasing","Indomalayan;Palearctic","Terrestrial","Global","26 June 2013",NA,"Transportation & service corridors;Biological resource use;Climate change & severe weather","Forest;Shrubland;Grassland"
"Pygmy Raccoon","animalia","mammalia","chordata","Procyon pygmaeus","procyonidae","pygmaeus","carnivora","procyon",2016,"Decreasing","Neotropical","Terrestrial","Global","11 February 2016",192,"Residential & commercial development;Transportation & service corridors;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Artificial/Terrestrial"
"Addax","animalia","mammalia","chordata","Addax nasomaculatus","bovidae","nasomaculatus","cetartiodactyla","addax",2016,"Decreasing","Palearctic","Terrestrial","Global","27 April 2016",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Climate change & severe weather","Savanna;Grassland;Desert"
"Vaquita","animalia","mammalia","chordata","Phocoena sinus","phocoenidae","sinus","cetartiodactyla","phocoena",2017,"Decreasing","Neotropical","Marine","Global","20 July 2017",18,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Marine Neritic;Marine Oceanic"
NA,"animalia","amphibia","chordata","Pseudophilautus papillosus","rhacophoridae","papillosus","anura","pseudophilautus",2014,"Unknown","Indomalayan","Terrestrial","Global","20 August 2014",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Pollution","Forest;Artificial/Terrestrial"
"Mt. Coke False Shieldback","animalia","insecta","arthropoda","Acilacris furcatus","tettigoniidae","furcatus","orthoptera","acilacris",2014,"Unknown","Afrotropical","Terrestrial","Global","01 March 2014",NA,"Agriculture & aquaculture;Natural system modifications;Climate change & severe weather","Shrubland"
"Pondo Flat-necked Shieldback","animalia","insecta","arthropoda","Arytropteris pondo","tettigoniidae","pondo","orthoptera","arytropteris",2014,"Unknown","Afrotropical","Terrestrial","Global","20 April 2014",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest"
"Castleton's Flightless Katydid","animalia","insecta","arthropoda","Austrodontura castletoni","tettigoniidae","castletoni","orthoptera","austrodontura",2014,"Unknown","Afrotropical","Terrestrial","Global","08 April 2014",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Marais' Lace-winged Katydid","animalia","insecta","arthropoda","Pseudosaga maraisi","tettigoniidae","maraisi","orthoptera","pseudosaga",2014,"Unknown","Afrotropical","Terrestrial","Global","27 June 2014",NA,"Agriculture & aquaculture;Climate change & severe weather","Desert"
"Bei-Bienko's Plump Bush-cricket","animalia","insecta","arthropoda","Isophya beybienkoi","tettigoniidae","beybienkoi","orthoptera","isophya",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe","23 November 2015",NA,"Natural system modifications","Shrubland;Grassland"
"Buff-headed Capuchin","animalia","mammalia","chordata","Sapajus xanthosternos","cebidae","xanthosternos","primates","sapajus",2015,"Decreasing","Neotropical","Terrestrial","Global","01 July 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use","Forest"
"Blonde Capuchin","animalia","mammalia","chordata","Sapajus flavius","cebidae","flavius","primates","sapajus",2015,"Decreasing","Neotropical","Terrestrial","Global","01 July 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases","Forest"
"Epirus Dancing Grasshopper","animalia","insecta","arthropoda","Chorthippus lacustris","acrididae","lacustris","orthoptera","chorthippus",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","05 February 2015",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications","Wetlands (inland)"
"Andrahomana Cave Giant Pill-Millipede","animalia","diplopoda","arthropoda","Sphaeromimus andrahomana","arthrosphaeridae","andrahomana","sphaerotheriida","sphaeromimus",2017,"Decreasing","Afrotropical","Terrestrial","Global","17 December 2015",NA,"Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest"
"Lavasoa Giant Pill-Millipede","animalia","diplopoda","arthropoda","Sphaeromimus lavasoa","arthrosphaeridae","lavasoa","sphaerotheriida","sphaeromimus",2017,"Decreasing","Afrotropical","Terrestrial","Global","02 September 2014",NA,"Biological resource use;Natural system modifications","Forest"
"Cape Flats Frog","animalia","amphibia","chordata","Microbatrachella capensis","pyxicephalidae","capensis","anura","microbatrachella",2017,"Decreasing","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","29 July 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications;Invasive and other problematic species, genes & diseases","Shrubland;Wetlands (inland)"
"Northern Moss Frog","animalia","amphibia","chordata","Arthroleptella subvoce","pyxicephalidae","subvoce","anura","arthroleptella",2016,"Unknown","Afrotropical","Terrestrial","Global","11 August 2016",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Shrubland;Wetlands (inland)"
"Parnassos Greek Bush-cricket","animalia","insecta","arthropoda","Parnassiana parnassica","tettigoniidae","parnassica","orthoptera","parnassiana",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","23 May 2015",NA,"Residential & commercial development;Agriculture & aquaculture","Grassland"
"Riggio's Saddle Bush-cricket","animalia","insecta","arthropoda","Uromenus riggioi","tettigoniidae","riggioi","orthoptera","uromenus",2016,"Decreasing","Palearctic","Terrestrial","Global;Europe;Mediterranean","17 May 2015",NA,"","Shrubland"
"Española Giant Tortoise","animalia","reptilia","chordata","Chelonoidis hoodensis","testudinidae","hoodensis","testudines","chelonoidis",2017,"Increasing","Neotropical","Terrestrial","Global","20 August 2015",NA,"Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Shrubland"
"Red-legged Fire-Millipede","animalia","diplopoda","arthropoda","Aphistogoniulus corallipes","pachybolidae","corallipes","spirobolida","aphistogoniulus",2017,"Decreasing","Afrotropical","Terrestrial","Global","11 November 2015",NA,"Agriculture & aquaculture;Biological resource use","Forest"
"Mark's Bushfrog","animalia","amphibia","chordata","Raorchestes marki","rhacophoridae","marki","anura","raorchestes",2011,"Decreasing","Indomalayan","Terrestrial","Global","27 January 2011",NA,"Residential & commercial development;Agriculture & aquaculture","Forest"
NA,"animalia","gastropoda","mollusca","Megalobulimus grandis","strophocheilidae","grandis","stylommatophora","megalobulimus",1996,NA,"Neotropical","Terrestrial","Global","01 August 1996",NA,"",""
"Myaka Myaka","animalia","actinopterygii","chordata","Myaka myaka","cichlidae","myaka","perciformes","myaka",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","16 February 2009",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Pollution;Geological events","Wetlands (inland)"
"Kipunji","animalia","mammalia","chordata","Rungwecebus kipunji","cercopithecidae","kipunji","primates","rungwecebus",2008,"Decreasing","Afrotropical","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","malacostraca","arthropoda","Euastacus dalagarbe","parastacidae","dalagarbe","decapoda","euastacus",2010,"Unknown","Australasian","Freshwater (=Inland waters)","Global","01 June 2010",NA,"Transportation & service corridors;Biological resource use;Human intrusions & disturbance;Natural system modifications;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Proterorhinus tataricus","gobiidae","tataricus","perciformes","proterorhinus",2008,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Natural system modifications;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","mammalia","chordata","Microtus bavaricus","cricetidae","bavaricus","rodentia","microtus",2008,"Decreasing","Palearctic","Terrestrial","Global;Europe","30 June 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Natural system modifications","Forest;Grassland"
